service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1.11.1,1,1,1,1,1,1,1,20080101,20081231
1.12.1,1,1,1,1,1,1,1,20080101,20081231
1.13.1,1,1,1,1,1,1,1,20080101,20081231
1.15.1,1,1,1,1,1,1,1,20080101,20081231
1.16.1,1,1,1,1,1,1,1,20080101,20081231
1.211.1,1,1,1,1,1,1,1,20080101,20081231
1.212.1,1,1,1,1,1,1,1,20080101,20081231
1.213.1,1,1,1,1,1,1,1,20080101,20081231
1.215.1,1,1,1,1,1,1,1,20080101,20081231
1.216.1,1,1,1,1,1,1,1,20080101,20081231
2.4.1,1,1,1,1,1,1,1,20080101,20081231
2.14.1,1,1,1,1,1,1,1,20080101,20081231
