trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1.11.1,6:00:00,6:00:00,814,1,,,,
1.11.1,6:02:00,6:02:00,1812,2,,,,
1.11.1,6:06:00,6:06:00,1813,3,,,,
1.11.1,6:09:00,6:09:00,1814,4,,,,
1.11.1,6:10:00,6:10:00,1396,5,,,,
1.11.1,6:12:00,6:12:00,1815,6,,,,
1.11.1,6:14:00,6:14:00,1816,7,,,,
1.11.1,6:16:00,6:16:00,1817,8,,,,
1.11.1,6:18:00,6:18:00,882,9,,,,
1.11.1,6:19:00,6:19:00,854,10,,,,
1.11.1,6:22:00,6:22:00,633,11,,,,
1.11.1,6:24:00,6:24:00,1818,12,,,,
1.11.1,6:26:00,6:26:00,670,13,,,,
1.11.1,6:28:00,6:28:00,1733,14,,,,
1.11.1,6:30:00,6:30:00,1704,15,,,,
1.11.1,6:31:00,6:31:00,1,16,,,,
1.11.1,6:33:00,6:33:00,3,17,,,,
1.11.1,6:35:00,6:35:00,119,18,,,,
1.11.1,6:37:00,6:37:00,118,19,,,,
1.11.1,6:38:00,6:38:00,1819,20,,,,
1.11.1,6:40:00,6:40:00,1820,21,,,,
1.11.1,6:42:00,6:42:00,1821,22,,,,
1.11.1,6:44:00,6:44:00,1822,23,,,,
1.11.1,6:48:00,6:48:00,1823,24,,,,
1.11.1,6:51:00,6:51:00,1824,25,,,,
1.11.1,6:53:00,6:53:00,1825,26,,,,
1.11.1,6:55:00,6:55:00,1826,27,,,,
1.11.1,6:59:00,6:59:00,43,28,,,,
1.11.1,7:01:00,7:01:00,1827,29,,,,
1.11.1,7:04:00,7:04:00,1828,30,,,,
1.11.1,7:08:00,7:08:00,1829,31,,,,
1.11.1,7:12:00,7:12:00,1830,32,,,,
1.11.1,7:15:00,7:15:00,1831,33,,,,
1.11.1,7:20:00,7:20:00,1832,34,,,,
1.11.1,7:22:00,7:22:00,1833,35,,,,
1.11.1,7:25:00,7:25:00,1834,36,,,,
1.11.1,7:27:00,7:27:00,1835,37,,,,
1.11.1,7:30:00,7:30:00,1836,38,,,,
1.11.1,7:34:00,7:34:00,1837,39,,,,
1.11.1,7:39:00,7:39:00,1838,40,,,,
1.12.1,6:00:00,6:00:00,738,1,,,,
1.12.1,6:03:00,6:03:00,922,2,,,,
1.12.1,6:05:00,6:05:00,1839,3,,,,
1.12.1,6:08:00,6:08:00,1840,4,,,,
1.12.1,6:11:00,6:11:00,1841,5,,,,
1.12.1,6:12:00,6:12:00,1842,6,,,,
1.12.1,6:14:00,6:14:00,1843,7,,,,
1.12.1,6:15:00,6:15:00,1844,8,,,,
1.12.1,6:17:00,6:17:00,1845,9,,,,
1.12.1,6:20:00,6:20:00,1846,10,,,,
1.12.1,6:23:00,6:23:00,1847,11,,,,
1.12.1,6:25:00,6:25:00,1848,12,,,,
1.12.1,6:28:00,6:28:00,1849,13,,,,
1.12.1,6:30:00,6:30:00,1850,14,,,,
1.12.1,6:32:00,6:32:00,1851,15,,,,
1.12.1,6:33:00,6:33:00,1852,16,,,,
1.12.1,6:35:00,6:35:00,1853,17,,,,
1.12.1,6:36:00,6:36:00,633,18,,,,
1.12.1,6:38:00,6:38:00,1818,19,,,,
1.12.1,6:40:00,6:40:00,670,20,,,,
1.12.1,6:41:00,6:41:00,1733,21,,,,
1.12.1,6:43:00,6:43:00,1704,22,,,,
1.12.1,6:44:00,6:44:00,1,23,,,,
1.12.1,6:46:00,6:46:00,3,24,,,,
1.12.1,6:47:00,6:47:00,119,25,,,,
1.12.1,6:49:00,6:49:00,118,26,,,,
1.12.1,6:50:00,6:50:00,1819,27,,,,
1.12.1,6:52:00,6:52:00,1820,28,,,,
1.12.1,6:54:00,6:54:00,1821,29,,,,
1.12.1,6:56:00,6:56:00,1822,30,,,,
1.12.1,7:00:00,7:00:00,1823,31,,,,
1.12.1,7:04:00,7:04:00,969,32,,,,
1.13.1,6:00:00,6:00:00,1902,1,,,,
1.13.1,6:02:00,6:02:00,1901,2,,,,
1.13.1,6:04:00,6:04:00,1900,3,,,,
1.13.1,6:06:00,6:06:00,1899,4,,,,
1.13.1,6:08:00,6:08:00,1898,5,,,,
1.13.1,6:10:00,6:10:00,1897,6,,,,
1.13.1,6:12:00,6:12:00,1896,7,,,,
1.13.1,6:14:00,6:14:00,1854,8,,,,
1.13.1,6:16:00,6:16:00,1220,9,,,,
1.13.1,6:18:00,6:18:00,1174,10,,,,
1.13.1,6:20:00,6:20:00,1704,11,,,,
1.13.1,6:22:00,6:22:00,1341,12,,,,
1.13.1,6:24:00,6:24:00,1855,13,,,,
1.13.1,6:25:00,6:25:00,1856,14,,,,
1.13.1,6:26:00,6:26:00,193,15,,,,
1.13.1,6:28:00,6:28:00,158,16,,,,
1.13.1,6:30:00,6:30:00,1857,17,,,,
1.13.1,6:32:00,6:32:00,1858,18,,,,
1.13.1,6:34:00,6:34:00,1859,19,,,,
1.13.1,6:36:00,6:36:00,1860,20,,,,
1.13.1,6:39:00,6:39:00,489,21,,,,
1.13.1,6:41:00,6:41:00,457,22,,,,
1.13.1,6:43:00,6:43:00,493,23,,,,
1.13.1,6:46:00,6:46:00,497,24,,,,
1.13.1,6:49:00,6:49:00,128,25,,,,
1.13.1,6:51:00,6:51:00,132,26,,,,
1.13.1,6:53:00,6:53:00,1861,27,,,,
1.15.1,6:00:00,6:00:00,1862,1,,,,
1.15.1,6:02:00,6:02:00,1863,2,,,,
1.15.1,6:04:00,6:04:00,1864,3,,,,
1.15.1,6:06:00,6:06:00,1856,4,,,,
1.15.1,6:07:00,6:07:00,1855,5,,,,
1.15.1,6:08:00,6:08:00,121,6,,,,
1.15.1,6:09:00,6:09:00,3,7,,,,
1.15.1,6:11:00,6:11:00,119,8,,,,
1.15.1,6:13:00,6:13:00,118,9,,,,
1.15.1,6:14:00,6:14:00,1819,10,,,,
1.15.1,6:16:00,6:16:00,1820,11,,,,
1.15.1,6:18:00,6:18:00,1821,12,,,,
1.15.1,6:20:00,6:20:00,1822,13,,,,
1.15.1,6:24:00,6:24:00,1823,14,,,,
1.15.1,6:27:00,6:27:00,969,15,,,,
1.16.1,6:00:00,6:00:00,1902,1,,,,
1.16.1,6:02:00,6:02:00,1901,2,,,,
1.16.1,6:04:00,6:04:00,1900,3,,,,
1.16.1,6:06:00,6:06:00,1899,4,,,,
1.16.1,6:08:00,6:08:00,1898,5,,,,
1.16.1,6:10:00,6:10:00,1897,6,,,,
1.16.1,6:12:00,6:12:00,1896,7,,,,
1.16.1,6:14:00,6:14:00,1854,8,,,,
1.16.1,6:16:00,6:16:00,1220,9,,,,
1.16.1,6:18:00,6:18:00,1174,10,,,,
1.16.1,6:20:00,6:20:00,1704,11,,,,
1.16.1,6:22:00,6:22:00,1341,12,,,,
1.16.1,6:24:00,6:24:00,1855,13,,,,
1.16.1,6:25:00,6:25:00,1856,14,,,,
1.16.1,6:27:00,6:27:00,1864,15,,,,
1.16.1,6:29:00,6:29:00,1863,16,,,,
1.16.1,6:31:00,6:31:00,1862,17,,,,
1.16.1,6:33:00,6:33:00,1903,18,,,,
1.16.1,6:35:00,6:35:00,1904,19,,,,
1.16.1,6:37:00,6:37:00,1905,20,,,,
1.16.1,6:39:00,6:39:00,1906,21,,,,
1.211.1,6:00:00,6:00:00,1838,1,,,,
1.211.1,6:05:00,6:05:00,1837,2,,,,
1.211.1,6:09:00,6:09:00,1836,3,,,,
1.211.1,6:12:00,6:12:00,1835,4,,,,
1.211.1,6:14:00,6:14:00,1834,5,,,,
1.211.1,6:17:00,6:17:00,1833,6,,,,
1.211.1,6:19:00,6:19:00,1832,7,,,,
1.211.1,6:24:00,6:24:00,1831,8,,,,
1.211.1,6:27:00,6:27:00,1830,9,,,,
1.211.1,6:31:00,6:31:00,1829,10,,,,
1.211.1,6:35:00,6:35:00,1828,11,,,,
1.211.1,6:38:00,6:38:00,1827,12,,,,
1.211.1,6:40:00,6:40:00,43,13,,,,
1.211.1,6:44:00,6:44:00,1826,14,,,,
1.211.1,6:46:00,6:46:00,1825,15,,,,
1.211.1,6:48:00,6:48:00,1824,16,,,,
