stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1,"Pl. Espanya","C/ Bailén, Alquiler de coches",39.465791,-0.382247,3,
3,"Jesús","Antigua Estación de Jesús, FGV",39.4592,-0.384543,3,
43,"Picassent","Tienda de fotocopias",39.363883,-0.465836,3,
118,"Hospital","Hospital Peset Aleixandre",39.454574,-0.398383,3,
119,"Patraix","Estación Metro Patraix",39.456903,-0.390218,3,
121,"Bailén","Renfe - FGV Bailén",39.464236,-0.379862,3,
128,"Massamagrell","Calle Les Casetes cruce Calle Emilio Ferrer",39.570561,-0.333034,3,
132,"La Pobla de Farnals","Bomberos Frente C/ Avilés",39.579418,-0.330437,3,
158,"Benimaclet","C/ Esteban Catalá",39.484853,-0.362334,3,
193,"Facultats","Facultad Geografia Historia, Metro Valencia",39.478005,-0.361905,3,
457,"Foios","Via F.G.V. - Recambios",39.537224,-0.353869,3,
489,"Meliana","Antes Vía F.G.V",39.527944,-0.3519,3,
493,"Albalat dels Sorells","Iglesia",39.545316,-0.348344,3,
497,"Museros","Concesionario / Banco",39.561575,-0.340855,3,
633,"Empalme","F.G.V Empalme - e.T.M",39.499566,-0.402417,3,
670,"Campanar-La Fé","F.G.V Campanar / C Pare Fullana",39.485676,-0.396398,3,
738,"Llíria","Estación F.G.V",39.623688,-0.59244,3,
814,"Bétera","Aparcamiento F.G.V",39.595956,-0.457726,3,
854,"Burjassot","Estación F.G.V / Parque",39.508283,-0.406945,3,
922,"Benaguasil 2n","F.G.V / Casal Fallero",39.597695,-0.58471,3,
882,"Burjassot-Godella","F.G.V / Parque",39.513531,-0.411998,3,
969,"Torrent - Avinguda","Metro",39.431785,-0.472809,3,
1174,"del Cid","Banco / F.G.V Avda del Cid",39.469063,-0.400293,3,
1220,"Hospital General","",39.470659,-0.407631,3,
1341,"Xàtiva","Plaza de Toros",39.467255,-0.376386,3,
1396,"Montcada-Alfara","Supermercado",39.543653,-0.388759,3,
1704,"Àngel Guimerá","C/ Cuenca / F.G.V",39.470303,-0.385036,3,
1733,"Túria","Frente Centro Comercial",39.478866,-0.391205,3,
1812,"Psiquiatric","FGV Estación",39.581932,-0.443144,3,
1813,"Masies","FGV Estación",39.566583,-0.405378,3,
