service_id,date,exception_type
SUN,20080101,1
SAT,20080218,1
SUN,20080526,1
SUN,20080704,1
SUN,20080901,1
SUN,20081127,1
SUN,20081225,1
SUN,20090101,1
SUNAB,20080101,1
SUNAB,20080218,1
SUNAB,20080526,1
SUNAB,20080704,1
SUNAB,20080901,1
SUNAB,20081127,1
SUNAB,20081225,1
SUNAB,20090101,1
WKDY,20080101,2
WKDY,20080218,2
WKDY,20080526,2
WKDY,20080704,2
WKDY,20080901,2
WKDY,20081127,2
WKDY,20081225,2
WKDY,20090101,2
M-FSAT,20080101,2
M-FSAT,20080218,2
M-FSAT,20080526,2
M-FSAT,20080704,2
M-FSAT,20080901,2
M-FSAT,20081127,2
M-FSAT,20081225,2
M-FSAT,20090101,2
