fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
30,1.50,USD,1,,,BART
31,1.55,USD,1,,,BART
34,1.70,USD,1,,,BART
35,1.75,USD,1,,,BART
36,1.80,USD,1,,,BART
37,1.85,USD,1,,,BART
38,1.90,USD,1,,,BART
39,1.95,USD,1,,,BART
40,2.00,USD,1,,,BART
41,2.05,USD,1,,,BART
42,2.10,USD,1,,,BART
43,2.15,USD,1,,,BART
44,2.20,USD,1,,,BART
45,2.25,USD,1,,,BART
46,2.30,USD,1,,,BART
47,2.35,USD,1,,,BART
49,2.45,USD,1,,,BART
50,2.50,USD,1,,,BART
51,2.55,USD,1,,,BART
52,2.60,USD,1,,,BART
53,2.65,USD,1,,,BART
54,2.70,USD,1,,,BART
55,2.75,USD,1,,,BART
56,2.80,USD,1,,,BART
57,2.85,USD,1,,,BART
58,2.90,USD,1,,,BART
59,2.95,USD,1,,,BART
60,3.00,USD,1,,,BART
61,3.05,USD,1,,,BART
62,3.10,USD,1,,,BART
63,3.15,USD,1,,,BART
64,3.20,USD,1,,,BART
65,3.25,USD,1,,,BART
66,3.30,USD,1,,,BART
67,3.35,USD,1,,,BART
68,3.40,USD,1,,,BART
69,3.45,USD,1,,,BART
70,3.50,USD,1,,,BART
71,3.55,USD,1,,,BART
72,3.60,USD,1,,,BART
73,3.65,USD,1,,,BART
74,3.70,USD,1,,,BART
75,3.75,USD,1,,,BART
76,3.80,USD,1,,,BART
77,3.85,USD,1,,,BART
78,3.90,USD,1,,,BART
79,3.95,USD,1,,,BART
80,4.00,USD,1,,,BART
81,4.05,USD,1,,,BART
82,4.10,USD,1,,,BART
83,4.15,USD,1,,,BART
84,4.20,USD,1,,,BART
85,4.25,USD,1,,,BART
86,4.30,USD,1,,,BART
87,4.35,USD,1,,,BART
88,4.40,USD,1,,,BART
89,4.45,USD,1,,,BART
90,4.50,USD,1,,,BART
91,4.55,USD,1,,,BART
148,7.40,USD,1,,,BART
151,7.55,USD,1,,,BART
115,5.75,USD,1,,,BART
118,5.90,USD,1,,,BART
122,6.10,USD,1,,,BART
125,6.25,USD,1,,,BART
128,6.40,USD,1,,,BART
130,6.50,USD,1,,,BART
132,6.60,USD,1,,,BART
138,6.90,USD,1,,,BART
139,6.95,USD,1,,,BART
141,7.05,USD,1,,,BART
92,4.60,USD,1,,,BART
93,4.65,USD,1,,,BART
94,4.70,USD,1,,,BART
95,4.75,USD,1,,,BART
96,4.80,USD,1,,,BART
97,4.85,USD,1,,,BART
98,4.90,USD,1,,,BART
99,4.95,USD,1,,,BART
100,5.00,USD,1,,,BART
101,5.05,USD,1,,,BART
102,5.10,USD,1,,,BART
103,5.15,USD,1,,,BART
104,5.20,USD,1,,,BART
105,5.25,USD,1,,,BART
106,5.30,USD,1,,,BART
107,5.35,USD,1,,,BART
108,5.40,USD,1,,,BART
109,5.45,USD,1,,,BART
110,5.50,USD,1,,,BART
111,5.55,USD,1,,,BART
112,5.60,USD,1,,,BART
113,5.65,USD,1,,,BART
114,5.70,USD,1,,,BART
116,5.80,USD,1,,,BART
117,5.85,USD,1,,,BART
119,5.95,USD,1,,,BART
120,6.00,USD,1,,,BART
121,6.05,USD,1,,,BART
124,6.20,USD,1,,,BART
126,6.30,USD,1,,,BART
127,6.35,USD,1,,,BART
134,6.70,USD,1,,,BART
153,7.65,USD,1,,,BART
160,8.00,USD,1,,,BART
airbart,3.00,USD,0,0,,AirBART
