shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
airbart-dn.csv,37.754211,-122.197868,1
airbart-dn.csv,37.753059,-122.196503,2
airbart-dn.csv,37.753059,-122.196503,3
airbart-dn.csv,37.75235,-122.196449,4
airbart-dn.csv,37.749989,-122.196602,5
airbart-dn.csv,37.747002,-122.196182,6
airbart-dn.csv,37.744759,-122.19619,7
airbart-dn.csv,37.739361,-122.196693,8
airbart-dn.csv,37.73645,-122.19706,9
airbart-dn.csv,37.734402,-122.197922,10
airbart-dn.csv,37.731571,-122.199249,11
airbart-dn.csv,37.727699,-122.201401,12
airbart-dn.csv,37.72657,-122.201759,13
airbart-dn.csv,37.72657,-122.201759,14
airbart-dn.csv,37.726528,-122.201683,15
airbart-dn.csv,37.726528,-122.201683,16
airbart-dn.csv,37.72599,-122.201729,17
airbart-dn.csv,37.72599,-122.201729,18
airbart-dn.csv,37.725731,-122.201668,19
airbart-dn.csv,37.72459,-122.20121,20
airbart-dn.csv,37.723701,-122.200943,21
airbart-dn.csv,37.72316,-122.200867,22
airbart-dn.csv,37.722321,-122.20089,23
airbart-dn.csv,37.721802,-122.200989,24
airbart-dn.csv,37.721001,-122.201263,25
airbart-dn.csv,37.720699,-122.201424,26
airbart-dn.csv,37.7202,-122.201721,27
airbart-dn.csv,37.719238,-122.202652,28
airbart-dn.csv,37.718712,-122.203468,29
airbart-dn.csv,37.718201,-122.204437,30
airbart-dn.csv,37.71727,-122.206963,31
airbart-dn.csv,37.71685,-122.207939,32
airbart-dn.csv,37.716122,-122.209137,33
airbart-dn.csv,37.715778,-122.209541,34
airbart-dn.csv,37.715691,-122.209732,35
airbart-dn.csv,37.71563,-122.20993,36
airbart-dn.csv,37.715599,-122.21051,37
airbart-dn.csv,37.715752,-122.211632,38
airbart-dn.csv,37.715778,-122.212196,39
airbart-dn.csv,37.715672,-122.21257,40
airbart-dn.csv,37.71526,-122.213181,41
airbart-dn.csv,37.714958,-122.213509,42
airbart-dn.csv,37.714451,-122.213722,43
airbart-dn.csv,37.714451,-122.213722,44
airbart-dn.csv,37.713871,-122.213783,45
airbart-dn.csv,37.71328,-122.213707,46
airbart-dn.csv,37.71328,-122.213707,47
airbart-dn.csv,37.7131,-122.213608,48
airbart-dn.csv,37.712761,-122.213249,49
airbart-dn.csv,37.711941,-122.211861,50
airbart-up.csv,37.7127,-122.213158,1
airbart-up.csv,37.711781,-122.211594,2
airbart-up.csv,37.711681,-122.21138,3
airbart-up.csv,37.711639,-122.211067,4
airbart-up.csv,37.711929,-122.209679,5
airbart-up.csv,37.712189,-122.209106,6
airbart-up.csv,37.712791,-122.208282,7
airbart-up.csv,37.713032,-122.208054,8
airbart-up.csv,37.713291,-122.207932,9
airbart-up.csv,37.71357,-122.207893,10
airbart-up.csv,37.713791,-122.207939,11
airbart-up.csv,37.714161,-122.208191,12
airbart-up.csv,37.71497,-122.209106,13
airbart-up.csv,37.71497,-122.209106,14
airbart-up.csv,37.715179,-122.209251,15
airbart-up.csv,37.715469,-122.209312,16
airbart-up.csv,37.715641,-122.209267,17
airbart-up.csv,37.715961,-122.208992,18
airbart-up.csv,37.71624,-122.208603,19
airbart-up.csv,37.716541,-122.208069,20
airbart-up.csv,37.717091,-122.206909,21
airbart-up.csv,37.717602,-122.205482,22
airbart-up.csv,37.71804,-122.204361,23
airbart-up.csv,37.718311,-122.203796,24
airbart-up.csv,37.7192,-122.202347,25
airbart-up.csv,37.7197,-122.201782,26
airbart-up.csv,37.720051,-122.201492,27
airbart-up.csv,37.720798,-122.201012,28
airbart-up.csv,37.721729,-122.200623,29
airbart-up.csv,37.722252,-122.200493,30
airbart-up.csv,37.723202,-122.200539,31
airbart-up.csv,37.723202,-122.200539,32
airbart-up.csv,37.723919,-122.200508,33
airbart-up.csv,37.724312,-122.200394,34
airbart-up.csv,37.725029,-122.199959,35
airbart-up.csv,37.72562,-122.19944,36
airbart-up.csv,37.72562,-122.19944,37
airbart-up.csv,37.72649,-122.201607,38
airbart-up.csv,37.72649,-122.201607,39
airbart-up.csv,37.727341,-122.201363,40
airbart-up.csv,37.72879,-122.200623,41
airbart-up.csv,37.731998,-122.19883,42
airbart-up.csv,37.73629,-122.196907,43
airbart-up.csv,37.737301,-122.196709,44
airbart-up.csv,37.739632,-122.196388,45
airbart-up.csv,37.741798,-122.196167,46
airbart-up.csv,37.74551,-122.19593,47
airbart-up.csv,37.74733,-122.195992,48
airbart-up.csv,37.75016,-122.196442,49
airbart-up.csv,37.75016,-122.196442,50
airbart-up.csv,37.751171,-122.196167,51
airbart-up.csv,37.751381,-122.196068,52
airbart-up.csv,37.752151,-122.195358,53
airbart-up.csv,37.752151,-122.195358,54
airbart-up.csv,37.754211,-122.197868,55
