trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
M-FSAT1DN,5:00:00,5:00:00,COLS,1,,,
M-FSAT1DN,5:20:00,5:20:00,OAK,2,,,
M-FSAT1UP,5:00:00,5:00:00,OAK,1,,,
M-FSAT1UP,5:20:00,5:20:00,COLS,2,,,
M-FSAT2DN,6:00:00,6:00:00,COLS,1,,,
M-FSAT2DN,6:20:00,6:20:00,OAK,2,,,
M-FSAT2UP,6:00:00,6:00:00,OAK,1,,,
M-FSAT2UP,6:20:00,6:20:00,COLS,2,,,
01SFO1SAT,05:59:00,05:59:00,LAFY,1,SFO,,
01SFO1SAT,06:04:00,06:04:00,ORIN,2,SFO,,
01SFO1SAT,06:10:00,06:10:00,ROCK,3,SFO,,
01SFO1SAT,06:15:00,06:15:00,MCAR_S,4,SFO,,
01SFO1SAT,06:18:00,06:18:00,19TH,5,SFO,,
01SFO1SAT,06:19:00,06:19:00,12TH,6,SFO,,
01SFO1SAT,06:23:00,06:23:00,WOAK,7,SFO,,
01SFO1SAT,06:31:00,06:31:00,EMBR,8,SFO,,
01SFO1SAT,06:32:00,06:32:00,MONT,9,SFO,,
01SFO1SAT,06:34:00,06:34:00,POWL,10,SFO,,
01SFO1SAT,06:36:00,06:36:00,CIVC,11,SFO,,
01SFO1SAT,06:38:00,06:38:00,16TH,12,SFO,,
01SFO1SAT,06:40:00,06:40:00,24TH,13,SFO,,
01SFO1SAT,06:43:00,06:43:00,GLEN,14,SFO,,
01SFO1SAT,06:45:00,06:45:00,BALB,15,SFO,,
01SFO1SAT,06:49:00,06:49:00,DALY,16,SFO,,
01SFO1SAT,06:53:00,06:53:00,COLM,17,SFO,,
01SFO1SAT,06:56:00,06:56:00,SSAN,18,SFO,,
01SFO1SAT,07:02:00,07:02:00,SBRN,19,SFO,,
01SFO1SAT,07:07:00,07:07:00,SFIA,20,SFO,,
02SFO1SAT,05:57:00,05:57:00,PITT,1,SFO,,
02SFO1SAT,06:04:00,06:04:00,NCON,2,SFO,,
02SFO1SAT,06:07:00,06:07:00,CONC,3,SFO,,
02SFO1SAT,06:12:00,06:12:00,PHIL,4,SFO,,
02SFO1SAT,06:15:00,06:15:00,WCRK,5,SFO,,
02SFO1SAT,06:19:00,06:19:00,LAFY,6,SFO,,
02SFO1SAT,06:24:00,06:24:00,ORIN,7,SFO,,
02SFO1SAT,06:30:00,06:30:00,ROCK,8,SFO,,
02SFO1SAT,06:35:00,06:35:00,MCAR_S,9,SFO,,
02SFO1SAT,06:38:00,06:38:00,19TH,10,SFO,,
02SFO1SAT,06:39:00,06:39:00,12TH,11,SFO,,
02SFO1SAT,06:43:00,06:43:00,WOAK,12,SFO,,
02SFO1SAT,06:51:00,06:51:00,EMBR,13,SFO,,
02SFO1SAT,06:52:00,06:52:00,MONT,14,SFO,,
02SFO1SAT,06:54:00,06:54:00,POWL,15,SFO,,
02SFO1SAT,06:56:00,06:56:00,CIVC,16,SFO,,
02SFO1SAT,06:58:00,06:58:00,16TH,17,SFO,,
02SFO1SAT,07:00:00,07:00:00,24TH,18,SFO,,
02SFO1SAT,07:03:00,07:03:00,GLEN,19,SFO,,
02SFO1SAT,07:05:00,07:05:00,BALB,20,SFO,,
02SFO1SAT,07:09:00,07:09:00,DALY,21,SFO,,
02SFO1SAT,07:13:00,07:13:00,COLM,22,SFO,,
02SFO1SAT,07:16:00,07:16:00,SSAN,23,SFO,,
02SFO1SAT,07:22:00,07:22:00,SBRN,24,SFO,,
02SFO1SAT,07:27:00,07:27:00,SFIA,25,SFO,,
03SFO1SAT,06:17:00,06:17:00,PITT,1,SFO,,
03SFO1SAT,06:24:00,06:24:00,NCON,2,SFO,,
03SFO1SAT,06:27:00,06:27:00,CONC,3,SFO,,
03SFO1SAT,06:32:00,06:32:00,PHIL,4,SFO,,
03SFO1SAT,06:35:00,06:35:00,WCRK,5,SFO,,
03SFO1SAT,06:39:00,06:39:00,LAFY,6,SFO,,
03SFO1SAT,06:44:00,06:44:00,ORIN,7,SFO,,
03SFO1SAT,06:50:00,06:50:00,ROCK,8,SFO,,
03SFO1SAT,06:55:00,06:55:00,MCAR_S,9,SFO,,
03SFO1SAT,06:58:00,06:58:00,19TH,10,SFO,,
03SFO1SAT,06:59:00,06:59:00,12TH,11,SFO,,
03SFO1SAT,07:03:00,07:03:00,WOAK,12,SFO,,
03SFO1SAT,07:11:00,07:11:00,EMBR,13,SFO,,
03SFO1SAT,07:12:00,07:12:00,MONT,14,SFO,,
03SFO1SAT,07:14:00,07:14:00,POWL,15,SFO,,
03SFO1SAT,07:16:00,07:16:00,CIVC,16,SFO,,
03SFO1SAT,07:18:00,07:18:00,16TH,17,SFO,,
03SFO1SAT,07:20:00,07:20:00,24TH,18,SFO,,
03SFO1SAT,07:23:00,07:23:00,GLEN,19,SFO,,
03SFO1SAT,07:25:00,07:25:00,BALB,20,SFO,,
03SFO1SAT,07:29:00,07:29:00,DALY,21,SFO,,
03SFO1SAT,07:33:00,07:33:00,COLM,22,SFO,,
03SFO1SAT,07:36:00,07:36:00,SSAN,23,SFO,,
03SFO1SAT,07:42:00,07:42:00,SBRN,24,SFO,,
03SFO1SAT,07:47:00,07:47:00,SFIA,25,SFO,,
04SFO1SAT,06:37:00,06:37:00,PITT,1,SFO,,
04SFO1SAT,06:44:00,06:44:00,NCON,2,SFO,,
04SFO1SAT,06:47:00,06:47:00,CONC,3,SFO,,
04SFO1SAT,06:52:00,06:52:00,PHIL,4,SFO,,
